,latlng
0,"静安区保德路1010弄('121.451250', '31.315950')"
1,"静安区柳营路1025弄('121.450322', '31.261842')"
2,"静安区达安花园('121.430063', '31.231494')"
3,"静安区皮裘公寓('121.450155', '31.227194')"
4,"静安区临汾路1515弄('121.438045', '31.306689')"
5,"静安区康悦亚洲花园('121.466425', '31.309539')"
6,"静安区沧州大楼('121.454498', '31.225789')"
7,"静安区慧芝湖花园('121.459590', '31.281698')"
8,"静安区金家巷西弄('121.440040', '31.225890')"
9,"静安区新梅共和城('121.449646', '31.281361')"
10,"静安区柳营路1025弄('121.450322', '31.261842')"
11,"静安区广中西路818弄('121.435199', '31.273884')"
12,"静安区沪太路651弄('121.452885', '31.259154')"
13,"静安区绿色丽园('121.448011', '31.273967')"
14,"静安区南长小区('121.429071', '31.226016')"
15,"静安区洛川中路901弄('121.450152', '31.265166')"
16,"静安区静安四季公寓('121.437832', '31.235955')"
17,"静安区大宁瑞仕花园('121.446305', '31.268361')"
18,"静安区三和花园('121.439976', '31.228354')"
19,"静安区万航公寓('121.431730', '31.225806')"
20,"静安区四和花园('121.441275', '31.227177')"
21,"静安区三和花园('121.439976', '31.228354')"
22,"静安区静安阳光名都('121.434298', '31.234679')"
23,"静安区四和花园('121.441275', '31.227177')"
24,"静安区四和花园('121.441275', '31.227177')"
25,"静安区蓝朝部落('121.429476', '31.227658')"
26,"静安区延平路237弄('121.439326', '31.230642')"
27,"静安区鸿力公寓('121.437519', '31.228974')"
28,"静安区和源名城('121.466516', '31.317471')"
29,"静安区彭豪公寓('121.439553', '31.309503')"
30,"静安区金家巷西弄('121.440040', '31.225890')"
31,"静安区新梅共和城('121.449646', '31.281361')"
32,"静安区柳营路1025弄('121.450322', '31.261842')"
33,"静安区柳营路1025弄('121.450322', '31.261842')"
34,"静安区达安花园('121.430063', '31.231494')"
35,"静安区广中西路818弄('121.435199', '31.273884')"
36,"静安区沪太路651弄('121.452885', '31.259154')"
37,"静安区绿色丽园('121.448011', '31.273967')"
38,"静安区南长小区('121.429071', '31.226016')"
39,"静安区洛川中路901弄('121.450152', '31.265166')"
40,"静安区静安四季公寓('121.437832', '31.235955')"
41,"静安区大宁瑞仕花园('121.446305', '31.268361')"
42,"静安区三和花园('121.439976', '31.228354')"
43,"静安区宝华现代城('121.453792', '31.280553')"
44,"静安区平保小区('121.453300', '31.317413')"
45,"静安区大宁金茂府('121.453148', '31.285461')"
46,"静安区明园森林都市('121.454475', '31.288973')"
47,"静安区童家浜小区('121.451434', '31.268424')"
48,"静安区柳营路1025弄('121.450322', '31.261842')"
49,"静安区慧芝湖花园('121.459590', '31.281698')"
50,"静安区上工新村('121.455179', '31.276016')"
51,"静安区思美公寓('121.464675', '31.306684')"
52,"静安区柳营路1025弄('121.450322', '31.261842')"
